compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5
X1V20,MurA,0.1733333333333333,0.1684694835680751,0.5081967213114754,CHEMBL5172087,3.85,142000.0,CHEMBL1984,E. coli,94,0.1690140845070422,0,0
X1V20,FabH,0.1641791044776119,0.1217081935028347,0.1805555555555555,CHEMBL458164,7.7,20.0,CHEMBL4914,E. coli,6,0.144578313253012,0,0
X1V20,FtsZ,0.1566265060240964,0.1498622515813306,0.3766233766233766,CHEMBL511201,6.82,150.0,CHEMBL5096,S. aureus,67,0.1511627906976744,0,0
X1V20,PBP2a,0.127906976744186,0.1060911404762734,0.4,CHEMBL4634860,5.92,1200.0,CHEMBL6128,S. aureus PBP2,17,0.1034482758620689,0,0
X1V20,LpxA,0.1063829787234042,0.1063829787234042,0.3975903614457831,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
X1V26,Gyr,0.3194444444444444,0.3085616438356163,0.527027027027027,CHEMBL4863169,7.96,11.0,CHEMBL2094139,E. coli complex,600,0.3150684931506849,0,0
X1V26,TopoIV,0.3013698630136986,0.2717902102171141,0.5066666666666667,CHEMBL4792402,5.8,1600.0,CHEMBL3038508,S. aureus complex,190,0.2933333333333333,0,0
X1V26,GyrB,0.3,0.2822763249079038,0.4864864864864865,CHEMBL3944293,5.7,2000.0,CHEMBL1826,E. coli,253,0.2837837837837837,0,0
X1V26,MurC,0.2531645569620253,0.2074468521518149,0.6753246753246753,CHEMBL271836,4.11,78000.0,CHEMBL4319,S. pneumoniae MurF,167,0.2093023255813953,0,0
X1V26,MurA,0.2441860465116279,0.2135584044232402,0.4719101123595505,CHEMBL5220418,5.29,5100.0,CHEMBL1984,E. coli,94,0.2386363636363636,0,0
X1V26,FabI,0.2285714285714285,0.2005007221954742,0.618421052631579,CHEMBL2178293,6.07,860.0,CHEMBL1857,E. coli,331,0.208955223880597,0,0
X1V26,FtsZ,0.2162162162162162,0.1956128319055815,0.3766233766233766,CHEMBL3423282,7.522878745280337,30.0,CHEMBL3999,E. coli,67,0.2023809523809523,0,0
X1V26,LpxH,0.2162162162162162,0.1825866290416332,0.7297297297297297,CHEMBL3667203,8.74,1.8,CHEMBL5855,E. coli,252,0.1785714285714285,0,0
X1V26,DHPS,0.2105263157894736,0.1968238778765094,0.4565217391304347,CHEMBL422884,6.0,1000.0,CHEMBL4032,E. coli,22,0.2,0,0
X1V26,DHFR,0.2028985507246377,0.1677426880121307,0.3417721518987341,CHEMBL174753,5.55,2810.0,CHEMBL2329,C. albicans,232,0.1830985915492957,0,0
X1V26,FabH,0.2,0.1307252639557456,0.2933333333333333,CHEMBL458164,7.7,20.0,CHEMBL4914,E. coli,6,0.1309523809523809,0,0
X1V26,LpxC,0.1744186046511628,0.1689242041200849,0.4693877551020408,CHEMBL2023515,9.0,1.0,CHEMBL3855,P. aeruginosa,600,0.1724137931034483,0,0
X1V26,LpxA,0.1182795698924731,0.1182795698924731,0.4222222222222222,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
X1V26,PBP2a,0.0909090909090909,0.0856071351816032,0.4382022471910112,CHEMBL332565,4.85,14000.0,CHEMBL2549,S. aureus PBP4,17,0.0909090909090909,0,0
