compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5,canonical_smiles,source_file,mw,logp,tpsa,hbd,hba,rotbonds,heavy_atoms,sulfonamide,beta_lactam,hydroxamate,diaminopyrimidine,xanthine,hydrazone,benzimidazole,benzothiazole,aryl_halide,similarity_component,top5_component,maccs_component,sar_bonus,evidence_score,organism_prior,evidence_tier
T2Z9,FabI,0.2,0.1881233671988389,0.7051282051282052,CHEMBL3623422,6.96,110.0,CHEMBL3994,S. aureus,331,0.19,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Cl)cc1,compounds_normalized.sdf,598.0270000000002,1.9792199999999995,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.18181818181818182,0.2402741493307531,0.8644688644688646,0.02,0.30064795791210885,1.0,low
X1V11,FabI,0.2463768115942029,0.2082019366845769,0.5733333333333334,CHEMBL2178293,6.07,860.0,CHEMBL1857,E. coli,331,0.2058823529411764,0,0,COc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,362.4360000000001,2.3983,106.67,2,7,5,24,0,0,0,0,0,0,0,0,0,0.26613965744400525,0.28489319263239316,0.6761904761904763,0.0,0.30572169830867235,1.0,low
X1V19,FabI,0.2112676056338028,0.1732805166676757,0.4666666666666667,CHEMBL2178293,6.07,860.0,CHEMBL1857,E. coli,331,0.1780821917808219,0,0,N#Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,357.4200000000001,2.26138,121.23,2,7,4,24,0,0,0,0,0,0,0,0,0,0.20230473751600508,0.20729003703927928,0.5238095238095238,0.0,0.23154630658925093,1.0,low
X1V20,FabI,0.2179487179487179,0.2009586574474215,0.4939759036144578,CHEMBL3623407,5.69,2040.0,CHEMBL3994,S. aureus,331,0.2125,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cccnc3)sc2c1,compounds_normalized.sdf,333.398,1.7846999999999995,110.33,2,7,4,22,0,0,0,0,0,0,0,0,0,0.21445221445221432,0.2687970165498256,0.5628227194492255,0.0,0.25884876928094736,1.0,low
X1V26,FabI,0.2285714285714285,0.2005007221954742,0.618421052631579,CHEMBL2178293,6.07,860.0,CHEMBL1857,E. coli,331,0.208955223880597,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cc(Cl)ccc3O)sc2c1,compounds_normalized.sdf,382.854,2.748700000000001,117.67,3,7,4,24,0,0,0,0,0,0,0,0,1,0.23376623376623362,0.26777938265660933,0.7406015037593986,0.0,0.2949181881111789,1.0,low
X1V9,FabI,0.2388059701492537,0.1820989105481661,0.4864864864864865,CHEMBL2178293,6.07,860.0,CHEMBL1857,E. coli,331,0.1710526315789473,0,0,Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,346.43700000000007,2.698120000000001,97.44,2,6,4,23,0,0,0,0,0,0,0,0,0,0.25237449118046124,0.22688646788481354,0.5521235521235522,0.0,0.26572739537996687,1.0,low
BI-1,FtsZ,0.25,0.2118780096308186,0.6557377049180327,CHEMBL1651196,5.21,6210.0,CHEMBL4213,M. tuberculosis,67,0.2142857142857142,0,0,O=C(CSc1nc2cc(OC(F)F)ccc2[nH]1)Nc1ccccc1,compounds_normalized.sdf,349.3620000000001,3.895100000000002,67.00999999999999,2,4,6,24,0,0,0,0,0,0,0,0,0,0.2727272727272727,0.29306224362404126,0.7939110070257611,0.0,0.32871584832351086,1.0,low
BI-6,FtsZ,0.2298850574712643,0.2044409553150953,0.6451612903225806,CHEMBL1651202,5.11,7690.0,CHEMBL4213,M. tuberculosis,67,0.2209302325581395,0,0,Cc1cccc(NC(=O)CSc2nc3cc(OC(F)F)ccc3[nH]2)c1,compounds_normalized.sdf,363.389,4.203520000000002,67.01,2,4,6,25,0,0,0,0,0,0,0,0,0,0.23615464994775326,0.2765354562557673,0.7788018433179724,0.0,0.3040314655355143,1.0,low
OX-11,FtsZ,0.1584158415841584,0.1506333400105955,0.5862068965517241,CHEMBL1926720,4.46,34800.0,CHEMBL4213,M. tuberculosis,67,0.1538461538461538,0,0,Cc1cccc(C)c1NC(=O)CSc1nnc(Cn2c(=O)c3c(ncn3C)n(C)c2=O)o1,compounds_normalized.sdf,455.50000000000017,1.21264,129.84,1,8,6,32,0,0,0,0,0,0,0,0,0,0.10621062106210614,0.15696297780132332,0.6945812807881774,0.0,0.1965332470996105,1.0,low
T2Z14,FtsZ,0.1415929203539823,0.1377982084649596,0.5529411764705883,CHEMBL3425704,4.07,85000.0,CHEMBL3999,E. coli,67,0.1391304347826087,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Br)cc1,compounds_normalized.sdf,642.4780000000003,2.0883199999999986,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.07562349155269507,0.1284404632554658,0.6470588235294119,0.02,0.18698068511962576,1.0,low
