compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5
T2Z14,LpxA,0.19090909090909092,0.19090909090909092,0.6172839506172839,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
T2Z5,LpxA,0.14953271028037382,0.14953271028037382,0.625,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
T2Z6,LpxA,0.17142857142857143,0.17142857142857143,0.6455696202531646,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
T2Z9,LpxA,0.21296296296296297,0.21296296296296297,0.6375,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
X1V11,LpxA,0.09473684210526316,0.09473684210526316,0.38202247191011235,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
X1V19,LpxA,0.08333333333333333,0.08333333333333333,0.3855421686746988,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
X1V20,LpxA,0.10638297872340426,0.10638297872340426,0.39759036144578314,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
X1V26,LpxA,0.11827956989247312,0.11827956989247312,0.4222222222222222,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
X1V9,LpxA,0.09782608695652174,0.09782608695652174,0.4024390243902439,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
BI-1,LpxC,0.20512820512820512,0.1988599194232997,0.5138888888888888,CHEMBL3647226,8.02,9.55,CHEMBL3855,P. aeruginosa,600,0.2,0,0
BI-6,LpxC,0.23170731707317074,0.21746091096969203,0.5131578947368421,CHEMBL3647252,9.05,0.883,CHEMBL3855,P. aeruginosa,600,0.22340425531914893,0,0
OX-11,LpxC,0.20224719101123595,0.1983343733535608,0.627906976744186,CHEMBL2023138,8.07,8.5,CHEMBL3855,P. aeruginosa,600,0.2,0,0
T2Z14,LpxC,0.22,0.21034478741991847,0.5833333333333334,CHEMBL2023138,8.07,8.5,CHEMBL3855,P. aeruginosa,600,0.21,0,0
